# schema	grammar-role-v2
# authority	fnv1a64:96ce8b5a8c7477c0
slot	kind	spelling	begin	prefix	postfix	parameter	literal	quoted	projection	body	descriptor	pattern	binary	precedence	assoc	compat
83	bang	!	1	1	0	0	0	0	0	0	0	0	0	9	0	0
84	backtick	`	0	0	0	0	0	0	0	0	0	0	0	0	0	1
85	concat	..	0	0	0	0	0	0	0	0	0	0	1	16	2	1
86	dots	...	1	0	0	0	0	0	0	0	0	1	0	0	0	0
87	hash_hash	##	1	1	0	0	0	0	0	0	0	0	0	0	0	1
88	eq	==	0	0	0	0	0	0	0	0	0	0	1	6	3	0
89	neq	!=	0	0	0	0	0	0	0	0	0	0	1	6	3	0
90	leq	<=	0	0	0	0	0	0	0	0	0	0	1	6	3	0
91	geq	>=	0	0	0	0	0	0	0	0	0	0	1	6	3	0
92	lshift	<<	0	0	0	0	0	0	0	0	0	0	1	13	1	0
93	rshift	>>	0	0	0	0	0	0	0	0	0	0	1	13	1	0
94	idiv	//	0	0	0	0	0	0	0	0	0	0	1	19	1	0
95	dcolon	::	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	arrow	->	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	pipe_gt	|>	0	0	0	0	0	0	0	0	0	0	1	1	1	0
98	fat_arrow	=>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	plus_assign	+=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
100	minus_assign	-=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
101	star_assign	*=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
102	slash_assign	/=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
103	percent_assign	%=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
104	caret_assign	^=	0	0	0	0	0	0	0	0	0	0	0	1	2	0
105	text_lit	text	1	0	0	0	1	1	0	1	0	1	0	0	0	0
106	bytes_lit	bytes	1	0	0	0	1	1	0	1	0	1	0	0	0	0
107	compat_text_lit	compat_text	1	0	0	0	1	1	0	1	0	1	0	0	0	1
108	compat_long_text_lit	compat_long_text	1	0	0	0	1	1	0	1	0	1	0	0	0	1
109	eof	<eof>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	shebang	#!	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	comment	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	compat_comment	--	0	0	0	0	0	0	0	0	0	0	0	0	0	1
113	compat_long_comment	--[[	0	0	0	0	0	0	0	0	0	0	0	0	0	1
